V	I
0.789068	0.000706
0.779068	0.000572
0.769068	0.000463
0.759068	0.000372
0.749268	0.000293
0.739068	0.000226
0.729068	0.000167
0.719068	0.000115
0.709268	0.000070
0.699068	0.000030
0.688868	-0.000006
0.679268	-0.000037
0.669068	-0.000055
0.659068	-0.000089
0.649068	-0.000112
0.639268	-0.000131
0.629268	-0.000149
0.619268	-0.000165
0.609068	-0.000179
0.599068	-0.000192
0.589268	-0.000204
0.579068	-0.000215
0.569268	-0.000225
0.559268	-0.000235
0.549068	-0.000244
0.539268	-0.000253
0.529268	-0.000260
0.519468	-0.000268
0.509268	-0.000276
0.499068	-0.000282
0.489268	-0.000289
0.479068	-0.000296
0.469268	-0.000302
0.459268	-0.000308
0.449268	-0.000314
0.439268	-0.000320
0.429268	-0.000326
0.419268	-0.000332
0.409268	-0.000338
0.399268	-0.000343
0.389468	-0.000349
0.379068	-0.000353
0.369268	-0.000359
0.359268	-0.000364
0.349268	-0.000369
0.339268	-0.000374
0.329268	-0.000379
0.319268	-0.000384
0.309468	-0.000389
0.299268	-0.000394
0.289268	-0.000398
0.279268	-0.000403
0.269468	-0.000407
0.259268	-0.000411
0.249468	-0.000415
0.239468	-0.000420
0.229468	-0.000424
0.219468	-0.000428
0.209468	-0.000431
0.199468	-0.000434
0.189468	-0.000439
0.179668	-0.000442
0.169468	-0.000444
0.159268	-0.000447
0.149468	-0.000449
0.139268	-0.000452
0.129468	-0.000455
0.119468	-0.000457
0.109468	-0.000460
0.099468	-0.000462
0.089468	-0.000464
0.079468	-0.000466
0.069468	-0.000468
0.059468	-0.000470
0.049468	-0.000472
0.039468	-0.000474
0.029468	-0.000476
0.019668	-0.000478
0.009668	-0.000480
-0.000532	-0.000482
-0.010532	-0.000484
-0.020332	-0.000486
-0.030332	-0.000488
-0.040732	-0.000490
-0.050532	-0.000492
-0.060332	-0.000494
-0.070332	-0.000496
-0.080732	-0.000499
-0.090332	-0.000501
-0.100332	-0.000503
-0.110532	-0.000505
-0.120332	-0.000507
-0.130532	-0.000509
-0.140332	-0.000511
-0.150332	-0.000513
-0.160332	-0.000515
-0.170532	-0.000517
-0.180332	-0.000520
-0.190132	-0.000522
-0.200532	-0.000525
-0.210132	-0.000527
-0.220132	-0.000529
-0.230332	-0.000531
-0.240332	-0.000533
-0.250132	-0.000535
-0.260532	-0.000538
-0.270332	-0.000540
-0.280332	-0.000543
-0.290332	-0.000544
-0.300332	-0.000547
-0.310132	-0.000549
-0.320332	-0.000551
-0.330332	-0.000554
-0.340132	-0.000556
-0.350332	-0.000558
-0.360332	-0.000561
-0.370132	-0.000563
-0.380132	-0.000566
-0.390332	-0.000568
-0.400332	-0.000570
-0.410132	-0.000573
-0.420132	-0.000575
-0.430132	-0.000578
-0.440332	-0.000580
-0.450332	-0.000583
-0.460132	-0.000585
-0.470332	-0.000588
-0.480132	-0.000590
-0.490132	-0.000592
-0.500132	-0.000595
-0.510132	-0.000598
-0.520332	-0.000600
-0.530132	-0.000603
-0.540132	-0.000605
-0.550132	-0.000608
-0.559932	-0.000612
-0.570132	-0.000614
-0.580132	-0.000617
-0.590132	-0.000622
-0.600132	-0.000625
-0.610132	-0.000629
-0.620132	-0.000634
-0.629932	-0.000638
-0.639932	-0.000643
-0.650332	-0.000648
-0.659932	-0.000653
-0.669932	-0.000660
-0.680132	-0.000666
-0.689932	-0.000674
-0.699932	-0.000682
-0.709932	-0.000691
-0.720132	-0.000699
-0.730132	-0.000710
-0.739932	-0.000720
-0.749732	-0.000732
-0.760132	-0.000744
-0.769932	-0.000757
-0.779732	-0.000772
-0.789932	-0.000787
-0.799732	-0.000803
-0.789932	-0.000620
-0.779732	-0.000482
-0.769932	-0.000372
-0.760132	-0.000284
-0.750132	-0.000209
-0.740132	-0.000145
-0.729932	-0.000091
-0.720132	-0.000044
-0.709932	-0.000003
-0.700132	0.000032
-0.689932	0.000055
-0.680132	0.000091
-0.669932	0.000115
-0.659932	0.000137
-0.649932	0.000156
-0.640132	0.000172
-0.629932	0.000188
-0.620132	0.000202
-0.610332	0.000214
-0.600132	0.000226
-0.589932	0.000237
-0.580132	0.000246
-0.570132	0.000255
-0.560132	0.000263
-0.550132	0.000271
-0.540132	0.000279
-0.530332	0.000285
-0.520132	0.000292
-0.510132	0.000298
-0.500132	0.000304
-0.490132	0.000310
-0.480132	0.000315
-0.470132	0.000321
-0.460332	0.000327
-0.450132	0.000332
-0.440132	0.000337
-0.430132	0.000342
-0.420132	0.000346
-0.410132	0.000351
-0.400132	0.000356
-0.390132	0.000360
-0.380332	0.000365
-0.370332	0.000370
-0.360132	0.000374
-0.350132	0.000378
-0.340332	0.000383
-0.330332	0.000387
-0.320332	0.000391
-0.310332	0.000395
-0.300332	0.000399
-0.290332	0.000403
-0.280332	0.000407
-0.270332	0.000410
-0.260532	0.000414
-0.250332	0.000418
-0.240332	0.000421
-0.230132	0.000424
-0.220532	0.000428
-0.210332	0.000431
-0.200532	0.000434
-0.190332	0.000437
-0.180332	0.000440
-0.170532	0.000442
-0.160332	0.000445
-0.150332	0.000447
-0.140332	0.000450
-0.130332	0.000451
-0.120332	0.000454
-0.110532	0.000455
-0.100532	0.000456
-0.090532	0.000458
-0.080532	0.000461
-0.070532	0.000462
-0.060332	0.000463
-0.050532	0.000465
-0.040532	0.000466
-0.030532	0.000468
-0.020332	0.000468
-0.010532	0.000470
-0.000532	0.000472
0.009268	0.000473
0.019468	0.000474
0.029468	0.000476
0.039468	0.000477
0.049468	0.000478
0.059468	0.000479
0.069468	0.000481
0.079268	0.000482
0.089668	0.000484
0.099468	0.000485
0.109468	0.000487
0.119468	0.000488
0.129468	0.000490
0.139668	0.000491
0.149268	0.000492
0.159468	0.000494
0.169468	0.000496
0.179468	0.000497
0.189468	0.000499
0.199468	0.000501
0.209468	0.000503
0.219468	0.000506
0.229268	0.000508
0.239468	0.000510
0.249268	0.000512
0.259268	0.000514
0.269468	0.000516
0.279268	0.000518
0.289268	0.000520
0.299268	0.000522
0.309268	0.000524
0.319268	0.000526
0.329268	0.000528
0.339268	0.000530
0.349268	0.000533
0.359268	0.000535
0.369268	0.000536
0.379268	0.000539
0.389268	0.000541
0.399268	0.000542
0.409268	0.000543
0.419068	0.000545
0.429268	0.000547
0.439268	0.000549
0.449268	0.000550
0.459268	0.000552
0.469068	0.000554
0.479068	0.000555
0.489268	0.000557
0.499068	0.000559
0.509068	0.000562
0.519268	0.000564
0.529268	0.000565
0.539068	0.000568
0.549068	0.000570
0.559268	0.000573
0.569268	0.000577
0.579068	0.000579
0.589268	0.000583
0.599268	0.000587
0.609068	0.000591
0.619268	0.000596
0.629068	0.000601
0.639068	0.000606
0.649268	0.000613
0.659068	0.000619
0.669268	0.000627
0.679468	0.000635
0.689068	0.000643
0.699268	0.000652
0.709068	0.000663
0.719068	0.000673
0.729068	0.000686
0.739068	0.000698
0.749068	0.000712
0.759068	0.000727
0.769268	0.000743
0.779268	0.000761
0.788868	0.000778
0.799068	0.000796
