V	A
0.788830	0.000673
0.778630	0.000449
0.769030	0.000275
0.758830	0.000140
0.749030	0.000025
0.739029	-0.000055
0.729029	-0.000133
0.719029	-0.000202
0.709029	-0.000253
0.698828	-0.000296
0.689028	-0.000332
0.679028	-0.000362
0.669028	-0.000387
0.658827	-0.000409
0.649027	-0.000428
0.639227	-0.000444
0.629027	-0.000458
0.619227	-0.000407
0.609026	-0.000488
0.598826	-0.000424
0.589026	-0.000502
0.579026	-0.000510
0.569225	-0.000518
0.559025	-0.000526
0.549025	-0.000533
0.539025	-0.000541
0.529024	-0.000548
0.518824	-0.000555
0.509224	-0.000563
0.499024	-0.000569
0.489024	-0.000576
0.479023	-0.000584
0.469023	-0.000591
0.459223	-0.000598
0.449223	-0.000605
0.439222	-0.000612
0.428822	-0.000619
0.419022	-0.000626
0.409222	-0.000634
0.399422	-0.000641
0.389221	-0.000649
0.379421	-0.000656
0.369021	-0.000663
0.359221	-0.000671
0.349220	-0.000678
0.339420	-0.000686
0.329020	-0.000694
0.319220	-0.000702
0.309219	-0.000710
0.299219	-0.000717
0.289219	-0.000725
0.279419	-0.000733
0.269219	-0.000741
0.259218	-0.000748
0.249418	-0.000756
0.239218	-0.000764
0.229218	-0.000771
0.219217	-0.000779
0.209017	-0.000786
0.199417	-0.000793
0.189417	-0.000801
0.179416	-0.000809
0.169216	-0.000815
0.159416	-0.000822
0.149416	-0.000829
0.139016	-0.000835
0.129415	-0.000842
0.119215	-0.000848
0.109415	-0.000854
0.099215	-0.000860
0.089414	-0.000866
0.079414	-0.000872
0.069214	-0.000877
0.059414	-0.000882
0.049214	-0.000886
0.039213	-0.000891
0.029413	-0.000896
0.019413	-0.000901
0.009413	-0.000905
-0.000588	-0.000910
-0.010588	-0.000914
-0.020588	-0.000918
-0.030788	-0.000922
-0.040589	-0.000927
-0.050589	-0.000931
-0.060789	-0.000935
-0.070389	-0.000939
-0.080389	-0.000943
-0.090790	-0.000947
-0.100590	-0.000951
-0.110590	-0.000956
-0.120590	-0.000960
-0.130391	-0.000964
-0.140391	-0.000968
-0.150591	-0.000972
-0.160391	-0.000976
-0.170591	-0.000980
-0.180392	-0.000984
-0.190592	-0.000987
-0.200592	-0.000992
-0.210392	-0.000995
-0.220393	-0.000999
-0.230593	-0.001003
-0.240593	-0.001006
-0.250393	-0.001009
-0.260394	-0.001012
-0.270394	-0.001015
-0.280594	-0.001018
-0.290394	-0.001020
-0.300594	-0.001022
-0.310395	-0.001025
-0.320595	-0.001026
-0.330195	-0.001028
-0.340395	-0.001029
-0.350596	-0.001030
-0.360396	-0.001032
-0.370396	-0.001032
-0.380396	-0.001032
-0.390596	-0.001033
-0.400397	-0.001032
-0.410197	-0.001032
-0.420197	-0.001031
