Voltaje	Corriente
0.789435	0.000134
0.779235	0.000121
0.769435	0.000110
0.759435	0.000102
0.749435	0.000095
0.739235	0.000088
0.729435	0.000083
0.719435	0.000076
0.709435	0.000071
0.699235	0.000067
0.689435	0.000061
0.679435	0.000058
0.669435	0.000054
0.659435	0.000050
0.649435	0.000047
0.639435	0.000044
0.629435	0.000040
0.619635	0.000037
0.609435	0.000034
0.599435	0.000031
0.589435	0.000029
0.579235	0.000027
0.569235	0.000024
0.559435	0.000022
0.549435	0.000020
0.539435	0.000018
0.529435	0.000016
0.519435	0.000014
0.509435	0.000012
0.499635	0.000010
0.489435	0.000009
0.479635	0.000007
0.469435	0.000005
0.459635	0.000004
0.449435	0.000002
0.439435	0.000001
0.429435	-0.000001
0.419635	-0.000002
0.409635	-0.000003
0.399635	-0.000005
0.389435	-0.000006
0.379635	-0.000007
0.369635	-0.000008
0.359635	-0.000009
0.349435	-0.000010
0.339635	-0.000011
0.329635	-0.000012
0.319635	-0.000013
0.309835	-0.000014
0.299635	-0.000015
0.289635	-0.000016
0.279635	-0.000017
0.269635	-0.000018
0.259635	-0.000019
0.249635	-0.000019
0.239635	-0.000020
0.229635	-0.000021
0.219835	-0.000021
0.209835	-0.000022
0.199635	-0.000023
0.189835	-0.000023
0.179835	-0.000024
0.169635	-0.000025
0.160035	-0.000025
0.149835	-0.000026
0.139635	-0.000027
0.129835	-0.000027
0.119635	-0.000027
0.109835	-0.000028
0.099835	-0.000029
0.089635	-0.000029
0.079835	-0.000030
0.069635	-0.000030
0.059835	-0.000030
0.049835	-0.000031
0.040035	-0.000032
0.029835	-0.000032
0.019635	-0.000033
0.009835	-0.000033
-0.000365	-0.000033
-0.010165	-0.000034
-0.020165	-0.000035
-0.029965	-0.000035
-0.040165	-0.000035
-0.050165	-0.000036
-0.059965	-0.000037
-0.070165	-0.000037
-0.080165	-0.000038
-0.090165	-0.000039
-0.100165	-0.000039
-0.110165	-0.000040
-0.120165	-0.000040
-0.129965	-0.000041
-0.139965	-0.000042
-0.149965	-0.000043
-0.159965	-0.000043
-0.169765	-0.000044
-0.179965	-0.000045
-0.189965	-0.000046
-0.199765	-0.000047
-0.209965	-0.000048
-0.220165	-0.000049
-0.230165	-0.000049
-0.240165	-0.000051
-0.249765	-0.000051
-0.259965	-0.000053
-0.270365	-0.000055
-0.279965	-0.000055
-0.290165	-0.000057
-0.299965	-0.000059
-0.309765	-0.000059
-0.319765	-0.000060
-0.329965	-0.000063
-0.339765	-0.000063
-0.349965	-0.000065
-0.359965	-0.000066
-0.369965	-0.000067
-0.379765	-0.000069
-0.389765	-0.000071
-0.399965	-0.000072
-0.409765	-0.000075
-0.419765	-0.000076
-0.429765	-0.000078
-0.439965	-0.000080
-0.449965	-0.000082
-0.459765	-0.000084
-0.469765	-0.000086
-0.479765	-0.000088
-0.489765	-0.000090
-0.499765	-0.000093
-0.509565	-0.000095
-0.519765	-0.000098
-0.529765	-0.000100
-0.539765	-0.000102
-0.549565	-0.000105
-0.559765	-0.000108
-0.569765	-0.000110
-0.579765	-0.000114
-0.589565	-0.000117
-0.599765	-0.000119
-0.609765	-0.000124
-0.619765	-0.000126
-0.629765	-0.000130
-0.639765	-0.000134
-0.649765	-0.000138
-0.659565	-0.000140
-0.669765	-0.000144
-0.679565	-0.000149
-0.689565	-0.000154
-0.699765	-0.000157
-0.709565	-0.000162
-0.719565	-0.000167
-0.729565	-0.000172
-0.739765	-0.000176
-0.749765	-0.000182
-0.759565	-0.000187
-0.769565	-0.000192
-0.779565	-0.000197
-0.789365	-0.000204
-0.799565	-0.000211
-0.789565	-0.000178
-0.779565	-0.000156
-0.769765	-0.000140
-0.759565	-0.000127
-0.749565	-0.000114
-0.739765	-0.000104
-0.729565	-0.000096
-0.719765	-0.000087
-0.709765	-0.000080
-0.699565	-0.000073
-0.689765	-0.000066
-0.679765	-0.000061
-0.669765	-0.000056
-0.659765	-0.000051
-0.649765	-0.000046
-0.639565	-0.000042
-0.629765	-0.000039
-0.619765	-0.000035
-0.609765	-0.000031
-0.599565	-0.000028
-0.589565	-0.000025
-0.579765	-0.000023
-0.569565	-0.000020
-0.559565	-0.000017
-0.549965	-0.000015
-0.539565	-0.000013
-0.529765	-0.000010
-0.519765	-0.000009
-0.509965	-0.000007
-0.499765	-0.000005
-0.489765	-0.000003
-0.479565	-0.000002
-0.469765	-0.000000
-0.459765	0.000002
-0.449765	0.000003
-0.439765	0.000004
-0.429765	0.000005
-0.419765	0.000006
-0.409765	0.000008
-0.399965	0.000009
-0.389965	0.000010
-0.379965	0.000011
-0.369765	0.000012
-0.359965	0.000013
-0.349965	0.000014
-0.339965	0.000015
-0.329765	0.000015
-0.319965	0.000016
-0.309965	0.000017
-0.300165	0.000017
-0.289965	0.000018
-0.279965	0.000019
-0.270165	0.000020
-0.259965	0.000020
-0.249965	0.000021
-0.239965	0.000022
-0.230165	0.000023
-0.219765	0.000023
-0.209965	0.000024
-0.199965	0.000025
-0.189765	0.000025
-0.179965	0.000026
-0.170165	0.000026
-0.159965	0.000027
-0.149965	0.000028
-0.140165	0.000028
-0.130165	0.000029
-0.120165	0.000029
-0.110165	0.000030
-0.100165	0.000031
-0.090165	0.000031
-0.080165	0.000032
-0.070165	0.000032
-0.060165	0.000033
-0.049965	0.000034
-0.040165	0.000035
-0.030165	0.000035
-0.020165	0.000036
-0.010165	0.000037
-0.000165	0.000037
0.009835	0.000038
0.020035	0.000039
0.029835	0.000040
0.039835	0.000040
0.049835	0.000041
0.059835	0.000042
0.069835	0.000043
0.079835	0.000044
0.089835	0.000044
0.099635	0.000045
0.109835	0.000046
0.119835	0.000047
0.129835	0.000047
0.139835	0.000049
0.149835	0.000050
0.159635	0.000050
0.169635	0.000052
0.179835	0.000053
0.189835	0.000053
0.199635	0.000054
0.209635	0.000055
0.219635	0.000057
0.229635	0.000057
0.239835	0.000058
0.249835	0.000060
0.259635	0.000060
0.269835	0.000061
0.279635	0.000063
0.289635	0.000064
0.299635	0.000064
0.309835	0.000066
0.319635	0.000067
0.329635	0.000068
0.339635	0.000070
0.349435	0.000070
0.359635	0.000072
0.369635	0.000073
0.379835	0.000075
0.389635	0.000076
0.399435	0.000077
0.409635	0.000078
0.419435	0.000080
0.429435	0.000081
0.439635	0.000082
0.449635	0.000083
0.459635	0.000086
0.469635	0.000087
0.479435	0.000088
0.489435	0.000089
0.499635	0.000092
0.509635	0.000093
0.519435	0.000094
0.529435	0.000096
0.539435	0.000099
0.549435	0.000099
0.559435	0.000101
0.569435	0.000102
0.579435	0.000104
0.589435	0.000106
0.599435	0.000108
0.609435	0.000109
0.619435	0.000112
0.629435	0.000113
0.639635	0.000115
0.649235	0.000117
0.659435	0.000120
0.669435	0.000122
0.679435	0.000124
0.689435	0.000126
0.699235	0.000129
0.709435	0.000130
0.719435	0.000133
0.729235	0.000135
0.739435	0.000138
0.749235	0.000141
0.759435	0.000142
0.769235	0.000145
0.779435	0.000147
0.789235	0.000151
0.799235	0.000153
