Voltaje	Corriente
0.789235	0.000044
0.779235	0.000037
0.769235	0.000031
0.759235	0.000027
0.749035	0.000023
0.739035	0.000020
0.729235	0.000018
0.719235	0.000015
0.709035	0.000014
0.699235	0.000012
0.689235	0.000011
0.679235	0.000010
0.669235	0.000009
0.659235	0.000008
0.649235	0.000007
0.639435	0.000006
0.629235	0.000005
0.619035	0.000004
0.609235	0.000004
0.599235	0.000003
0.589435	0.000002
0.579235	0.000002
0.569235	0.000002
0.559435	0.000001
0.549235	0.000001
0.539235	0.000001
0.529435	0.000000
0.519235	-0.000000
0.509235	-0.000001
0.499235	-0.000001
0.489435	-0.000001
0.479235	-0.000002
0.469235	-0.000002
0.459435	-0.000002
0.449235	-0.000002
0.439235	-0.000003
0.429235	-0.000003
0.419235	-0.000003
0.409435	-0.000003
0.399235	-0.000004
0.389235	-0.000004
0.379435	-0.000004
0.369635	-0.000004
0.359235	-0.000005
0.349435	-0.000005
0.339435	-0.000005
0.329235	-0.000005
0.319635	-0.000005
0.309235	-0.000006
0.299435	-0.000006
0.289435	-0.000006
0.279435	-0.000007
0.269435	-0.000007
0.259435	-0.000007
0.249435	-0.000007
0.239435	-0.000007
0.229435	-0.000007
0.219635	-0.000008
0.209435	-0.000008
0.199435	-0.000008
0.189635	-0.000008
0.179435	-0.000008
0.169435	-0.000008
0.159435	-0.000008
0.149635	-0.000008
0.139635	-0.000008
0.129435	-0.000009
0.119435	-0.000009
0.109835	-0.000009
0.099635	-0.000009
0.089635	-0.000009
0.079635	-0.000009
0.069435	-0.000009
0.059635	-0.000009
0.049635	-0.000009
0.039635	-0.000009
0.029635	-0.000010
0.019435	-0.000010
0.009835	-0.000009
-0.000365	-0.000010
-0.010365	-0.000010
-0.020365	-0.000010
-0.030565	-0.000010
-0.040365	-0.000010
-0.050165	-0.000010
-0.060565	-0.000011
-0.070365	-0.000010
-0.080365	-0.000011
-0.090365	-0.000011
-0.100165	-0.000011
-0.110165	-0.000011
-0.120365	-0.000011
-0.130365	-0.000011
-0.140365	-0.000012
-0.150365	-0.000012
-0.160165	-0.000012
-0.170165	-0.000013
-0.180165	-0.000013
-0.190165	-0.000013
-0.200365	-0.000014
-0.210165	-0.000014
-0.220365	-0.000015
-0.230365	-0.000015
-0.240365	-0.000015
-0.250165	-0.000016
-0.260165	-0.000017
-0.270165	-0.000017
-0.280365	-0.000018
-0.290165	-0.000019
-0.300365	-0.000019
-0.310165	-0.000020
-0.319965	-0.000021
-0.330165	-0.000022
-0.340165	-0.000023
-0.350165	-0.000023
-0.360165	-0.000024
-0.370165	-0.000024
-0.380165	-0.000026
-0.389765	-0.000026
-0.399965	-0.000027
-0.410165	-0.000028
-0.420165	-0.000029
-0.429965	-0.000030
-0.440165	-0.000031
-0.449965	-0.000031
-0.459965	-0.000032
-0.470165	-0.000033
-0.479765	-0.000034
-0.489965	-0.000035
-0.499965	-0.000036
