Voltaje	Corriente
0.789035	0.000068
0.779435	0.000054
0.769035	0.000045
0.759035	0.000038
0.749035	0.000032
0.739235	0.000027
0.729235	0.000022
0.719235	0.000019
0.709435	0.000016
0.699035	0.000013
0.689235	0.000011
0.679235	0.000009
0.669435	0.000007
0.659235	0.000005
0.649035	0.000004
0.639235	0.000002
0.629235	0.000001
0.619235	-0.000000
0.609235	-0.000001
0.599435	-0.000002
0.589235	-0.000002
0.579235	-0.000003
0.569435	-0.000004
0.559235	-0.000004
0.549235	-0.000005
0.539035	-0.000006
0.529235	-0.000006
0.519435	-0.000006
0.509435	-0.000007
0.499235	-0.000007
0.489435	-0.000008
0.479235	-0.000008
0.469235	-0.000009
0.459435	-0.000009
0.449435	-0.000009
0.439435	-0.000010
0.429435	-0.000010
0.419235	-0.000009
0.409235	-0.000010
0.399235	-0.000010
0.389235	-0.000010
0.379435	-0.000011
0.369435	-0.000011
0.359435	-0.000011
0.349235	-0.000012
0.339435	-0.000012
0.329435	-0.000012
0.319435	-0.000012
0.309435	-0.000013
0.299435	-0.000013
0.289435	-0.000013
0.279635	-0.000013
0.269435	-0.000013
0.259435	-0.000014
0.249435	-0.000014
0.239635	-0.000014
0.229435	-0.000014
0.219435	-0.000014
0.209435	-0.000015
0.199435	-0.000014
0.189635	-0.000015
0.179435	-0.000015
0.169635	-0.000015
0.159435	-0.000015
0.149635	-0.000015
0.139435	-0.000016
0.129435	-0.000015
0.119435	-0.000015
0.109435	-0.000015
0.099635	-0.000016
0.089635	-0.000015
0.079635	-0.000016
0.069635	-0.000016
0.059435	-0.000016
0.049635	-0.000016
0.039635	-0.000016
0.029635	-0.000016
0.019635	-0.000016
0.009635	-0.000016
-0.000365	-0.000016
-0.010365	-0.000016
-0.020365	-0.000017
-0.030365	-0.000016
-0.040165	-0.000017
-0.050565	-0.000017
-0.060365	-0.000017
-0.070365	-0.000017
-0.080365	-0.000017
-0.090365	-0.000017
-0.100365	-0.000018
-0.110365	-0.000018
-0.120165	-0.000018
-0.130165	-0.000018
-0.140165	-0.000019
-0.150165	-0.000019
-0.160365	-0.000019
-0.170165	-0.000020
-0.180165	-0.000020
-0.190365	-0.000021
-0.200165	-0.000021
-0.210365	-0.000021
-0.220365	-0.000022
-0.230365	-0.000022
-0.240165	-0.000023
-0.250165	-0.000024
-0.260165	-0.000024
-0.270365	-0.000025
-0.280165	-0.000026
-0.290165	-0.000026
-0.300165	-0.000027
-0.310165	-0.000028
-0.320165	-0.000029
-0.329965	-0.000030
-0.340165	-0.000031
-0.349965	-0.000032
-0.360165	-0.000033
-0.370165	-0.000034
-0.380165	-0.000035
-0.390165	-0.000036
-0.400165	-0.000037
-0.410165	-0.000038
-0.419965	-0.000039
-0.430165	-0.000040
-0.440165	-0.000042
-0.449965	-0.000043
-0.460165	-0.000044
-0.469965	-0.000045
-0.480165	-0.000047
-0.489965	-0.000048
-0.499965	-0.000049
-0.509965	-0.000051
-0.520165	-0.000052
-0.529965	-0.000054
-0.539965	-0.000055
-0.549965	-0.000056
-0.559965	-0.000057
-0.569965	-0.000059
-0.579965	-0.000060
-0.590165	-0.000062
-0.599965	-0.000064
-0.609965	-0.000065
