Voltaje	Corriente
0.789211	0.000046
0.779011	0.000041
0.769211	0.000037
0.759011	0.000034
0.749211	0.000030
0.739010	0.000027
0.729010	0.000025
0.719210	0.000023
0.709010	0.000021
0.699209	0.000019
0.689009	0.000018
0.679409	0.000016
0.669209	0.000015
0.659009	0.000014
0.649208	0.000013
0.639208	0.000012
0.629208	0.000011
0.619408	0.000010
0.609207	0.000009
0.599407	0.000009
0.589207	0.000008
0.579207	0.000007
0.569206	0.000007
0.559206	0.000006
0.549206	0.000006
0.539206	0.000005
0.529206	0.000005
0.519405	0.000004
0.509205	0.000004
0.499205	0.000004
0.489205	0.000003
0.479204	0.000003
0.469204	0.000003
0.459404	0.000002
0.449404	0.000002
0.439203	0.000002
0.429203	0.000002
0.419403	0.000001
0.409203	0.000001
0.399203	0.000001
0.389202	0.000001
0.379402	0.000001
0.369402	0.000000
0.359602	0.000000
0.349201	-0.000000
0.339401	-0.000000
0.329401	-0.000000
0.319401	-0.000001
0.309401	-0.000001
0.299400	-0.000001
0.289600	-0.000001
0.279400	-0.000001
0.269400	-0.000001
0.259399	-0.000001
0.249399	-0.000002
0.239199	-0.000002
0.229399	-0.000002
0.219399	-0.000002
0.209198	-0.000002
0.199398	-0.000002
0.189398	-0.000002
0.179398	-0.000002
0.169597	-0.000002
0.159597	-0.000003
0.149397	-0.000003
0.139397	-0.000003
0.129396	-0.000003
0.119396	-0.000003
0.109396	-0.000003
0.099596	-0.000003
0.089595	-0.000003
0.079595	-0.000003
0.069395	-0.000003
0.059595	-0.000004
0.049395	-0.000004
0.039594	-0.000004
0.029594	-0.000004
0.019594	-0.000004
0.009394	-0.000004
-0.000206	-0.000004
-0.010407	-0.000004
-0.020407	-0.000004
-0.030407	-0.000004
-0.040407	-0.000005
-0.050408	-0.000005
-0.060408	-0.000005
-0.070408	-0.000005
-0.080408	-0.000005
-0.090409	-0.000005
-0.100409	-0.000005
-0.110409	-0.000005
-0.120409	-0.000005
-0.130409	-0.000006
-0.140410	-0.000006
-0.150210	-0.000006
-0.160410	-0.000006
-0.170410	-0.000006
-0.180411	-0.000006
-0.190411	-0.000006
-0.200411	-0.000006
-0.210211	-0.000007
-0.220211	-0.000007
-0.230412	-0.000007
-0.240212	-0.000007
-0.250412	-0.000007
-0.260412	-0.000007
-0.270413	-0.000007
-0.280213	-0.000008
-0.290213	-0.000008
-0.300213	-0.000008
-0.310414	-0.000008
-0.320414	-0.000008
-0.330214	-0.000009
-0.340214	-0.000009
-0.350214	-0.000009
-0.360215	-0.000009
-0.370415	-0.000009
-0.380215	-0.000010
-0.390215	-0.000010
-0.400216	-0.000010
-0.410216	-0.000010
-0.420416	-0.000011
-0.430216	-0.000011
-0.440016	-0.000011
-0.450017	-0.000011
-0.460217	-0.000012
-0.470217	-0.000012
-0.480217	-0.000012
-0.490218	-0.000013
-0.500218	-0.000013
-0.510018	-0.000014
-0.520218	-0.000014
-0.530019	-0.000015
-0.540219	-0.000015
-0.550019	-0.000016
-0.560019	-0.000016
-0.570019	-0.000017
-0.580220	-0.000017
-0.590220	-0.000018
-0.600020	-0.000019
-0.610220	-0.000019
-0.620021	-0.000020
-0.630221	-0.000021
-0.640021	-0.000022
-0.650021	-0.000023
-0.660022	-0.000024
-0.670022	-0.000025
-0.679822	-0.000026
-0.690022	-0.000027
-0.699822	-0.000029
-0.709823	-0.000030
-0.720023	-0.000032
-0.729823	-0.000033
-0.740023	-0.000035
-0.750024	-0.000037
-0.760024	-0.000039
-0.770024	-0.000041
-0.779824	-0.000044
-0.789824	-0.000047
-0.799825	-0.000043
-0.789424	-0.000039
-0.779624	-0.000034
-0.769624	-0.000028
-0.759624	-0.000025
-0.749624	-0.000022
-0.739823	-0.000019
-0.729823	-0.000017
-0.719623	-0.000015
-0.709623	-0.000013
-0.699622	-0.000011
-0.689822	-0.000010
-0.679622	-0.000009
-0.669622	-0.000008
-0.659622	-0.000007
-0.649821	-0.000006
-0.639821	-0.000005
-0.629821	-0.000004
-0.619821	-0.000004
-0.609620	-0.000003
-0.599820	-0.000002
-0.589820	-0.000002
-0.579820	-0.000002
-0.569619	-0.000001
-0.559619	-0.000001
-0.549819	-0.000000
-0.539819	-0.000000
-0.529819	0.000000
-0.519818	0.000001
-0.509818	0.000001
-0.499818	0.000001
-0.489818	0.000001
-0.479817	0.000002
-0.469817	0.000002
-0.459817	0.000002
-0.449817	0.000002
-0.439817	0.000002
-0.429816	0.000002
-0.419816	0.000003
-0.410016	0.000003
-0.399816	0.000003
-0.389815	0.000003
-0.380015	0.000003
-0.369815	0.000003
-0.360015	0.000003
-0.350014	0.000003
-0.340014	0.000004
-0.330014	0.000004
-0.319814	0.000004
-0.310014	0.000004
-0.300013	0.000004
-0.290013	0.000004
-0.280213	0.000004
-0.270213	0.000004
-0.260012	0.000004
-0.250012	0.000004
-0.239812	0.000005
-0.230012	0.000005
-0.220011	0.000005
-0.210011	0.000005
-0.200211	0.000005
-0.189811	0.000005
-0.180011	0.000005
-0.170010	0.000005
-0.160210	0.000005
-0.150210	0.000005
-0.140010	0.000005
-0.130009	0.000005
-0.120209	0.000005
-0.110009	0.000006
-0.100009	0.000006
-0.090009	0.000006
-0.080208	0.000006
-0.070208	0.000006
-0.060208	0.000006
-0.050008	0.000006
-0.040207	0.000006
-0.030207	0.000006
-0.020007	0.000006
-0.010207	0.000006
-0.000206	0.000006
0.009794	0.000006
0.019794	0.000006
0.029794	0.000006
0.039594	0.000006
0.049595	0.000006
0.059995	0.000007
0.069795	0.000007
0.079795	0.000007
0.089796	0.000007
0.099796	0.000007
0.109796	0.000007
0.119796	0.000007
0.129796	0.000007
0.139597	0.000007
0.149797	0.000007
0.159797	0.000007
0.169597	0.000007
0.179798	0.000007
0.189598	0.000007
0.199798	0.000008
0.209798	0.000008
0.219799	0.000008
0.229799	0.000008
0.239799	0.000008
0.249799	0.000008
0.259599	0.000008
0.269800	0.000008
0.279800	0.000008
0.289800	0.000009
0.299600	0.000009
0.309801	0.000009
0.319601	0.000009
0.329801	0.000009
0.339601	0.000009
0.349801	0.000010
0.359602	0.000010
0.369602	0.000010
0.379402	0.000010
0.389602	0.000010
0.399603	0.000011
0.409803	0.000011
0.419603	0.000011
0.429603	0.000011
0.439604	0.000012
0.449404	0.000012
0.459404	0.000012
0.469604	0.000013
0.479404	0.000013
0.489605	0.000013
0.499405	0.000014
0.509605	0.000014
0.519405	0.000015
0.529406	0.000015
0.539206	0.000016
0.549606	0.000017
0.559606	0.000017
0.569406	0.000018
0.579207	0.000019
0.589407	0.000019
0.599607	0.000020
0.609607	0.000021
0.619608	0.000022
0.629608	0.000023
0.639208	0.000024
0.649408	0.000025
0.659409	0.000026
0.669609	0.000028
0.679609	0.000029
0.689409	0.000031
0.699409	0.000032
0.709610	0.000034
0.719410	0.000035
0.729210	0.000037
0.739410	0.000039
0.749411	0.000041
0.759211	0.000044
0.769611	0.000046
0.779411	0.000042
0.789411	0.000051
0.799412	0.000054
