Zreal	Zimag	Freq
 1.00000004221716E+0000  1.59154942979910E-0003  1.00000000000000E+0005
 1.00000005565306E+0000  1.82734324120595E-0003  8.70963589956077E+0004
 1.00000007336502E+0000  2.09807075948912E-0003  7.58577575029181E+0004
 1.00000009671393E+0000  2.40890753972672E-0003  6.60693448007594E+0004
 1.00000012749378E+0000  2.76579591416953E-0003  5.75439937337156E+0004
 1.00000016806954E+0000  3.17555859302751E-0003  5.01187233627272E+0004
 1.00000022155880E+0000  3.64602909560969E-0003  4.36515832240166E+0004
 1.00000029207139E+0000  4.18620150528760E-0003  3.80189396320562E+0004
 1.00000038502507E+0000  4.80640241116544E-0003  3.31131121482592E+0004
 1.00000050756189E+0000  5.51848832348065E-0003  2.88403150312661E+0004
 1.00000066909689E+0000  6.33607233673427E-0003  2.51188643150959E+0004
 1.00000088204147E+0000  7.27478437366890E-0003  2.18776162394956E+0004
 1.00000116275711E+0000  8.35256998515858E-0003  1.90546071796326E+0004
 1.00000153281239E+0000  9.59003341811861E-0003  1.65958690743757E+0004
 1.00000202064024E+0000  1.10108315097658E-0002  1.44543977074593E+0004
 1.00000266372259E+0000  1.26421259381308E-0002  1.25892541179417E+0004
 1.00000351147020E+0000  1.45151024741988E-0002  1.09647819614319E+0004
 1.00000462901917E+0000  1.66655671617399E-0002  9.54992586021444E+0003
 1.00000610223557E+0000  1.91346308212270E-0002  8.31763771102677E+0003
 1.00000804431289E+0000  2.19694949622899E-0002  7.24435960074996E+0003
 1.00001060446923E+0000  2.52243541271056E-0002  6.30957344480198E+0003
 1.00001397941223E+0000  2.89614319119028E-0002  5.49540873857629E+0003
 1.00001842845301E+0000  3.32521704677148E-0002  4.78630092322642E+0003
 1.00002429342998E+0000  3.81785962131938E-0002  4.16869383470338E+0003
 1.00003202497365E+0000  4.38348878573201E-0002  3.63078054770104E+0003
 1.00004221713015E+0000  5.03291766919051E-0002  3.16227766016840E+0003
 1.00005565300384E+0000  5.77856135457519E-0002  2.75422870333819E+0003
 1.00007336492567E+0000  6.63467418774786E-0002  2.39883291901951E+0003
 1.00009671377000E+0000  7.61762223173189E-0002  2.08929613085405E+0003
 1.00012749351361E+0000  8.74619606578740E-0002  1.81970085861000E+0003
 1.00016806906978E+0000  1.00419698962613E-0001  1.58489319246112E+0003
 1.00022155798627E+0000  1.15297138247855E-0001  1.38038426460289E+0003
 1.00029206996514E+0000  1.32378671255377E-0001  1.20226443461742E+0003
 1.00038502260319E+0000  1.51990815343508E-0001  1.04712854805091E+0003
 1.00050755760458E+0000  1.74508448678014E-0001  9.12010839355915E+0002
 1.00066908943110E+0000  2.00361967911539E-0001  7.94328234724286E+0002
 1.00088202852089E+0000  2.30045502627874E-0001  6.91830970918940E+0002
 1.00116273460138E+0000  2.64126341229484E-0001  6.02559586074361E+0002
 1.00153277327010E+0000  3.03255744895039E-0001  5.24807460249775E+0002
 1.00202057226421E+0000  3.48181350937097E-0001  4.57088189614877E+0002
 1.00266360445538E+0000  3.99761394501810E-0001  3.98107170553499E+0002
 1.00351126491324E+0000  4.58981008118213E-0001  3.46736850452533E+0002
 1.00462866242516E+0000  5.26970891979343E-0001  3.01995172040203E+0002
 1.00610161562733E+0000  6.05028683556637E-0001  2.63026799189539E+0002
 1.00804323560013E+0000  6.94643392229852E-0001  2.29086765276778E+0002
 1.01060259718506E+0000  7.97523301249989E-0001  1.99526231496889E+0002
 1.01397615917833E+0000  9.15627772445941E-0001  1.73780082874938E+0002
 1.01842280027028E+0000  1.05120341354408E+0000  1.51356124843621E+0002
 1.02428360761319E+0000  1.20682507563978E+0000  1.31825673855641E+0002
 1.03200790652920E+0000  1.38544212642446E+0000  1.14815362149688E+0002
 1.04218747592739E+0000  1.59043037336388E+0000  1.00000000000000E+0002
 1.05560148225001E+0000  1.82564985968615E+0000  8.70963589956084E+0001
 1.07327541784052E+0000  2.09550847852538E+0000  7.58577575029187E+0001
 1.09655828371606E+0000  2.40503087730893E+0000  6.60693448007598E+0001
 1.12722344787494E+0000  2.75993135182877E+0000  5.75439937337159E+0001
 1.16760006613551E+0000  3.16668820472775E+0000  5.01187233627274E+0001
 1.22074367598796E+0000  3.63261514460158E+0000  4.36515832240167E+0001
 1.29065651271178E+0000  4.16592241338278E+0000  3.80189396320562E+0001
 1.38257008929400E+0000  4.77575601181816E+0000  3.31131121482592E+0001
 1.50330426373599E+0000  5.47219705806221E+0000  2.88403150312661E+0001
 1.66171767189524E+0000  6.26619422268540E+0000  2.51188643150959E+0001
 1.86926272422043E+0000  7.16938949768436E+0000  2.18776162394956E+0001
 2.14065211134505E+0000  8.19378053413608E+0000  1.90546071796325E+0001
 2.49462932102738E+0000  9.35114123807186E+0000  1.65958690743756E+0001
 2.95480759458625E+0000  1.06520975842001E+0001  1.44543977074593E+0001
 3.55049262191811E+0000  1.21047323266823E+0001  1.25892541179417E+0001
 4.31732556564845E+0000  1.37125812679598E+0001  1.09647819614318E+0001
 5.29746843920342E+0000  1.54719058737524E+0001  9.54992586021438E+0000
 6.53890749037442E+0000  1.73682167546222E+0001  8.31763771102673E+0000
 8.09330155813819E+0000  1.93722266787689E+0001  7.24435960074991E+0000
 1.00117276727721E+0001  2.14357744137719E+0001  6.30957344480194E+0000
 1.23378150355916E+0001  2.34887814148417E+0001  5.49540873857625E+0000
 1.50982946601342E+0001  2.54388633253156E+0001  4.78630092322639E+0000
 1.82920501557213E+0001  2.71755038730710E+0001  4.16869383470336E+0000
 2.18801916644562E+0001  2.85802221111549E+0001  3.63078054770102E+0000
 2.57808645314684E+0001  2.95425223188731E+0001  3.16227766016838E+0000
 2.98724177169575E+0001  2.99788018138646E+0001  2.75422870333817E+0000
 3.40064140896487E+0001  2.98489777768278E+0001  2.39883291901949E+0000
