Zreal	Zimag	Freq
 3.13728320373664E+0000  1.06497919525393E-0002  1.00002000000000E+0006
 3.13728455697564E+0000  1.34071008522566E-0002  7.94355500000000E+0005
 3.13728670137554E+0000  1.68780810787820E-0002  6.30996100000000E+0005
 3.13729009821324E+0000  2.12460600412697E-0002  5.01269500000000E+0005
 3.13729548537314E+0000  2.67490816225353E-0002  3.98144500000000E+0005
 3.13730402459841E+0000  3.36779547419079E-0002  3.16230500000000E+0005
 3.13731755294575E+0000  4.23979146717166E-0002  2.51191400000000E+0005
 3.13733893331334E+0000  5.33489094209181E-0002  1.99628900000000E+0005
 3.13737296001697E+0000  6.71939104457534E-0002  1.58496100000000E+0005
 3.13742674797009E+0000  8.45784993823491E-0002  1.25918000000000E+0005
 3.13751203264852E+0000  1.06478527474914E-0001  1.00019500000000E+0005
 3.13764658869023E+0000  1.33941119314830E-0001  7.95117200000000E+0004
 3.13786135855705E+0000  1.68762333688952E-0001  6.31054700000000E+0004
 3.13819746131634E+0000  2.12083349257236E-0001  5.02148400000000E+0004
 3.13873212888302E+0000  2.66891221327416E-0001  3.99023400000000E+0004
 3.13957983742013E+0000  3.35950106180722E-0001  3.16992200000000E+0004
 3.14093583247573E+0000  4.23643161820004E-0001  2.51367200000000E+0004
 3.14306367042630E+0000  5.32942948597184E-0001  1.99804700000000E+0004
 3.14643314145066E+0000  6.70549600468484E-0001  1.58789100000000E+0004
 3.15181440072694E+0000  8.45097841547074E-0001  1.25976600000000E+0004
 3.16024167295951E+0000  1.06234378953048E+0000  1.00195300000000E+0004
 3.17392275915741E+0000  1.34214775143212E+0000  7.92824100000000E+0003
 3.19510633932836E+0000  1.68611591072103E+0000  6.30787100000000E+0003
 3.22792630454816E+0000  2.11094765763520E+0000  5.03472200000000E+0003
 3.28111320714784E+0000  2.65850917973257E+0000  3.99305600000000E+0003
 3.36863206951201E+0000  3.36993877781384E+0000  3.14405500000000E+0003
 3.49619748088887E+0000  4.19361140243848E+0000  2.51953100000000E+0003
 3.70324591885363E+0000  5.25734182315668E+0000  2.00076200000000E+0003
 4.03627821054789E+0000  6.60686904804784E+0000  1.58066900000000E+0003
 4.54837812874219E+0000  8.23855186154049E+0000  1.25363400000000E+0003
 5.31104056359840E+0000  1.01506500422780E+0001  1.00070200000000E+0003
 6.52395489047892E+0000  1.25167682810980E+0001  7.90028100000000E+0002
 8.26055491664471E+0000  1.51168548127401E+0001  6.28811000000000E+0002
 1.06903189548131E+0001  1.78665814633705E+0001  5.02232100000000E+0002
 1.40216315829734E+0001  2.06117357151220E+0001  4.00152400000000E+0002
 1.84942103782391E+0001  2.30772532905402E+0001  3.15504800000000E+0002
 2.34982734097694E+0001  2.46330167164018E+0001  2.52016100000000E+0002
 2.90115141341662E+0001  2.51437029986326E+0001  2.00320500000000E+0002
 3.45967542076016E+0001  2.44605340613301E+0001  1.58005600000000E+0002
 3.94292922922402E+0001  2.28386858645752E+0001  1.25558000000000E+0002
 4.34396147683855E+0001  2.06424940092521E+0001  9.97340000000000E+0001
 4.65470602900036E+0001  1.82832181696439E+0001  7.94491500000000E+0001
 4.89647083453028E+0001  1.59560067301811E+0001  6.29194600000000E+0001
 5.07704537968660E+0001  1.39026632131999E+0001  4.98670200000000E+0001
 5.22896557099790E+0001  1.20075559274554E+0001  3.84221300000000E+0001
 5.32403555389657E+0001  1.08229253130678E+0001  3.12500000000000E+0001
 5.41194101197587E+0001  9.83181250192779E+0000  2.49335100000000E+0001
 5.48775511843346E+0001  9.14711184010062E+0000  2.00320500000000E+0001
 5.56861144023103E+0001  8.66330427794494E+0000  1.56250000000000E+0001
 5.64129204672816E+0001  8.46420393956175E+0000  1.24667500000000E+0001
 5.71515950045627E+0001  8.46910473049346E+0000  9.97340000000000E+0000
 5.79345137011167E+0001  8.65831369199002E+0000  7.97193900000000E+0000
 5.87890579932215E+0001  9.02630540085497E+0000  6.35162600000000E+0000
 5.97609654316147E+0001  9.58952475701099E+0000  5.01336900000000E+0000
 6.07991494962192E+0001  1.03072179497962E+0001  3.98596900000000E+0000
 6.19369380916858E+0001  1.11859288468502E+0001  3.17581300000000E+0000
 6.32325972921097E+0001  1.22644313062385E+0001  2.51610300000000E+0000
 6.46710381483014E+0001  1.35257451608764E+0001  1.99553000000000E+0000
 6.62535618489281E+0001  1.49644031618088E+0001  1.58790600000000E+0000
 6.80563270556958E+0001  1.66459554830891E+0001  1.25805200000000E+0000
 7.00659094881981E+0001  1.85555471462144E+0001  9.97765000000000E-0001
 7.22988469048211E+0001  2.07058697294656E+0001  7.92744800000000E-0001
 7.48145451877872E+0001  2.31521213378217E+0001  6.29025800000000E-0001
 7.76408367539768E+0001  2.59200802617067E+0001  4.98882500000000E-0001
 8.07042574849675E+0001  2.89358753156146E+0001  3.98596900000000E-0001
 8.42174057902537E+0001  3.24077016770682E+0001  3.16723000000000E-0001
 8.81696366618732E+0001  3.63247865678381E+0001  2.51475300000000E-0001
 9.25711499973859E+0001  4.06965996954085E+0001  1.99978700000000E-0001
 9.75388197156673E+0001  4.56387540501153E+0001  1.58790600000000E-0001
 1.03127510176801E+0002  5.12055556081872E+0001  1.26008100000000E-0001
 1.09351685449360E+0002  5.74110757621574E+0001  1.00160300000000E-0001
