n	l	bulk	surf
2	5.00000000000000e-10	0	1
3	7.50000000000000e-10	0.0370370370370370	0.962962962962963
4	1.00000000000000e-09	0.125000000000000	0.875000000000000
5	1.25000000000000e-09	0.216000000000000	0.784000000000000
6	1.50000000000000e-09	0.296296296296296	0.703703703703704
7	1.75000000000000e-09	0.364431486880466	0.635568513119534
8	2.00000000000000e-09	0.421875000000000	0.578125000000000
9	2.25000000000000e-09	0.470507544581619	0.529492455418381
10	2.50000000000000e-09	0.512000000000000	0.488000000000000
11	2.75000000000000e-09	0.547708489857250	0.452291510142750
12	3.00000000000000e-09	0.578703703703704	0.421296296296296
13	3.25000000000000e-09	0.605826126536186	0.394173873463814
14	3.50000000000000e-09	0.629737609329446	0.370262390670554
15	3.75000000000000e-09	0.650962962962963	0.349037037037037
16	4.00000000000000e-09	0.669921875000000	0.330078125000000
17	4.25000000000000e-09	0.686952981884796	0.313047018115205
18	4.50000000000000e-09	0.702331961591221	0.297668038408779
19	4.75000000000000e-09	0.716285172765709	0.283714827234291
20	5.00000000000000e-09	0.729000000000000	0.271000000000000
21	5.25000000000000e-09	0.740632761040924	0.259367238959076
22	5.50000000000000e-09	0.751314800901578	0.248685199098422
23	5.75000000000000e-09	0.761157228569080	0.238842771430920
24	6.00000000000000e-09	0.770254629629630	0.229745370370370
25	6.25000000000000e-09	0.778688000000000	0.221312000000000
26	6.50000000000000e-09	0.786527082385071	0.213472917614929
27	6.75000000000000e-09	0.793832241020170	0.206167758979830
28	7.00000000000000e-09	0.800655976676385	0.199344023323615
29	7.25000000000000e-09	0.807044159252122	0.192955840747878
30	7.50000000000000e-09	0.813037037037037	0.186962962962963
31	7.75000000000000e-09	0.818670068141385	0.181329931858615
32	8.00000000000000e-09	0.823974609375000	0.176025390625000
33	8.25000000000000e-09	0.828978490135515	0.171021509864485
34	8.50000000000000e-09	0.833706492977814	0.166293507022186
35	8.75000000000000e-09	0.838180758017493	0.161819241982507
36	9.00000000000000e-09	0.842421124828532	0.157578875171468
37	9.25000000000000e-09	0.846445422778513	0.153554577221487
38	9.50000000000000e-09	0.850269718617874	0.149730281382126
39	9.75000000000000e-09	0.853908528464742	0.146091471535259
40	1.00000000000000e-08	0.857375000000000	0.142625000000000
41	1.02500000000000e-08	0.860681069630446	0.139318930369554
42	1.05000000000000e-08	0.863837598531476	0.136162401468524
43	1.07500000000000e-08	0.866854490799552	0.133145509200448
44	1.10000000000000e-08	0.869740796393689	0.130259203606311
45	1.12500000000000e-08	0.872504801097394	0.127495198902606
46	1.15000000000000e-08	0.875154105366976	0.124845894633024
47	1.17500000000000e-08	0.877695693632432	0.122304306367568
48	1.20000000000000e-08	0.880135995370370	0.119864004629630
49	1.22500000000000e-08	0.882480939064505	0.117519060935495
50	1.25000000000000e-08	0.884736000000000	0.115264000000000
